date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:41	38579/38579	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:39%20GMT	http://phydev.web44.net/flame/index-video-wave.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video-wave.html	(from http://phydev.web44.net/flame/index.html)
15:25:41	21755/21755	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:56%20GMT	http://phydev.web44.net/flame/img/dv-3.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-3.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:42	23790/23790	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:10:00%20GMT	http://phydev.web44.net/flame/img/dv-4.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-4.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:42	23372/23372	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:10:01%20GMT	http://phydev.web44.net/flame/img/dv-5.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-5.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:45	23388/23388	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:10:05%20GMT	http://phydev.web44.net/flame/img/dv-6.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-6.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:46	42567/42567	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:41%20GMT	http://phydev.web44.net/flame/index-video-clouds.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video-clouds.html	(from http://phydev.web44.net/flame/index.html)
15:25:46	30345/30345	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:10:48%20GMT	http://phydev.web44.net/flame/img/sb.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/sb.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:47	39007/39007	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:11:01%20GMT	http://phydev.web44.net/flame/img/sp.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/sp.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:48	38280/38280	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:47%20GMT	http://phydev.web44.net/flame/index-zigzag.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-zigzag.html	(from http://phydev.web44.net/flame/index.html)
15:25:48	46716/46716	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:11:15%20GMT	http://phydev.web44.net/flame/img/wd-4.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/wd-4.jpg	(from http://phydev.web44.net/flame/single-portfolio.html)
15:25:49	23002/23002	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202017%2020:12:03%20GMT	http://phydev.web44.net/flame/js/particles.js	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/js/particles.js	(from http://phydev.web44.net/flame/index-particles.html)
15:25:50	44165/44165	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:49%20GMT	http://phydev.web44.net/flame/index-carousel-clouds.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-carousel-clouds.html	(from http://phydev.web44.net/flame/index.html)
